name_a,state_a,name_b,state_b,borders
Congressional District 1,37,Congressional District 3,37,t
Congressional District 1,37,Congressional District 6,37,t
Congressional District 1,37,Congressional District 4,37,t
Congressional District 1,37,Congressional District 13,37,t
Congressional District 1,37,Congressional District 4,51,t
Congressional District 1,37,Congressional District 5,51,t
Congressional District 1,37,Congressional District 7,37,t
Congressional District 3,37,Congressional District 1,37,t
Congressional District 3,37,Congressional District 4,51,t
Congressional District 3,37,Congressional District 7,37,t
Congressional District 3,37,Congressional District 2,51,t
Congressional District 4,25,Congressional District 9,25,t
Congressional District 4,25,Congressional District 8,25,t
Congressional District 4,25,Congressional District 1,44,t
Congressional District 4,25,Congressional District 2,25,t
Congressional District 4,25,Congressional District 5,25,t
Congressional District 4,25,Congressional District 7,25,t
Congressional District 9,25,Congressional District 4,25,t
Congressional District 9,25,Congressional District 8,25,t
Congressional District 9,25,Congressional District 1,44,t
Congressional District 8,25,Congressional District 4,25,t
Congressional District 8,25,Congressional District 9,25,t
Congressional District 8,25,Congressional District 7,25,t
Congressional District 8,25,Congressional District 6,25,t
Congressional District 11,51,Congressional District 1,51,t
Congressional District 11,51,Congressional District 10,51,t
Congressional District 11,51,Congressional District 8,51,t
Congressional District 11,51,Congressional District 5,24,t
Congressional District 4,8,Congressional District 3,35,t
Congressional District 4,8,Congressional District 3,40,t
Congressional District 4,8,Congressional District 6,8,t
Congressional District 4,8,Congressional District 1,8,t
Congressional District 4,8,Congressional District (at Large),56,t
Congressional District 4,8,Congressional District 5,8,t
Congressional District 4,8,Congressional District 3,8,t
Congressional District 4,8,Congressional District 1,20,t
Congressional District 4,8,Congressional District 3,31,t
Congressional District 4,8,Congressional District 2,8,t
Congressional District 6,21,Congressional District 2,21,t
Congressional District 6,21,Congressional District 5,21,t
Congressional District 6,21,Congressional District 4,21,t
Congressional District 6,1,Congressional District 2,1,t
Congressional District 6,1,Congressional District 7,1,t
Congressional District 6,1,Congressional District 3,1,t
Congressional District 6,1,Congressional District 4,1,t
Congressional District 4,48,Congressional District 4,40,t
Congressional District 4,48,Congressional District 2,40,t
Congressional District 4,48,Congressional District 4,5,t
Congressional District 4,48,Congressional District 4,22,t
Congressional District 4,48,Congressional District 13,48,t
Congressional District 4,48,Congressional District 1,48,t
Congressional District 4,48,Congressional District 5,48,t
Congressional District 4,48,Congressional District 26,48,t
Congressional District 4,48,Congressional District 32,48,t
Congressional District 4,48,Congressional District 3,48,t
Congressional District 5,22,Congressional District 4,28,t
Congressional District 5,22,Congressional District 1,5,t
Congressional District 5,22,Congressional District 1,22,t
Congressional District 5,22,Congressional District 6,22,t
Congressional District 5,22,Congressional District 4,5,t
Congressional District 5,22,Congressional District 4,22,t
Congressional District 5,22,Congressional District 3,28,t
Congressional District 5,22,Congressional District 2,28,t
Congressional District 5,22,Congressional District 3,22,t
Congressional District 2,13,Congressional District 3,13,t
Congressional District 2,13,Congressional District 2,1,t
Congressional District 2,13,Congressional District 2,12,t
Congressional District 2,13,Congressional District 3,1,t
Congressional District 2,13,Congressional District 8,13,t
Congressional District 9,34,Congressional District 11,34,t
Congressional District 9,34,Congressional District 8,34,t
Congressional District 9,34,Congressional District 5,34,t
Congressional District 9,34,Congressional District 13,36,t
Congressional District 9,34,Congressional District 10,36,t
Congressional District 9,34,Congressional District 16,36,t
Congressional District 24,36,Congressional District 27,36,t
Congressional District 24,36,Congressional District 25,36,t
Congressional District 24,36,Congressional District 22,36,t
Congressional District 24,36,Congressional District 23,36,t
Congressional District 24,36,Congressional District 21,36,t
Congressional District 1,41,Congressional District 3,41,t
Congressional District 1,41,Congressional District 5,41,t
Congressional District 1,41,Congressional District 3,53,t
Congressional District 9,51,Congressional District 2,47,t
Congressional District 9,51,Congressional District 6,37,t
Congressional District 9,51,Congressional District 5,37,t
Congressional District 9,51,Congressional District 1,47,t
Congressional District 9,51,Congressional District 3,54,t
Congressional District 9,51,Congressional District 5,51,t
Congressional District 9,51,Congressional District 5,21,t
Congressional District 9,51,Congressional District 6,51,t
Congressional District 4,47,Congressional District 14,13,t
Congressional District 4,47,Congressional District 5,1,t
Congressional District 4,47,Congressional District 6,47,t
Congressional District 4,47,Congressional District 5,47,t
Congressional District 4,47,Congressional District 7,47,t
Congressional District 4,47,Congressional District 3,47,t
Congressional District 10,26,Congressional District 11,26,t
Congressional District 10,26,Congressional District 8,26,t
Congressional District 10,26,Congressional District 5,26,t
Congressional District 10,26,Congressional Districts not defined,26,t
Congressional District 10,26,Congressional District 9,26,t
Congressional District 4,32,Congressional District 8,6,t
Congressional District 4,32,Congressional District 4,4,t
Congressional District 4,32,Congressional District 1,32,t
Congressional District 4,32,Congressional District 3,32,t
Congressional District 4,32,Congressional District 2,32,t
Congressional District 4,32,Congressional District 2,49,t
Congressional District 2,32,Congressional District 4,32,t
Congressional District 2,32,Congressional District 8,6,t
Congressional District 2,32,Congressional District 4,6,t
Congressional District 2,32,Congressional District 1,16,t
Congressional District 2,32,Congressional District 2,41,t
Congressional District 2,32,Congressional District 1,6,t
Congressional District 2,32,Congressional District 2,16,t
Congressional District 2,32,Congressional District 1,49,t
Congressional District 2,32,Congressional District 2,49,t
Congressional District 1,39,Congressional District 8,39,t
Congressional District 1,39,Congressional District 4,21,t
Congressional District 1,39,Congressional District 2,39,t
Congressional District 1,39,Congressional District 6,18,t
Congressional District 1,39,Congressional District 15,39,t
Congressional District 1,39,Congressional District 10,39,t
Congressional District 3,27,Congressional District 5,27,t
Congressional District 3,27,Congressional District 2,27,t
Congressional District 3,27,Congressional District 6,27,t
Congressional District 6,42,Congressional District 16,42,t
Congressional District 6,42,Congressional District 15,42,t
Congressional District 6,42,Congressional District 7,42,t
Congressional District 6,42,Congressional District 8,42,t
Congressional District 16,42,Congressional District 6,42,t
Congressional District 16,42,Congressional District 15,42,t
Congressional District 16,42,Congressional District 7,42,t
Congressional District 16,42,Congressional District 1,24,t
Congressional District 16,42,Congressional District 4,42,t
Congressional District 15,42,Congressional District 6,42,t
Congressional District 15,42,Congressional District 16,42,t
Congressional District 15,42,Congressional District 17,42,t
Congressional District 15,42,Congressional District 11,42,t
Congressional District 15,42,Congressional District 7,34,t
Congressional District 15,42,Congressional District 4,42,t
Congressional District 15,42,Congressional District 8,42,t
Congressional District 16,6,Congressional District 21,6,t
Congressional District 16,6,Congressional District 22,6,t
Congressional District 16,6,Congressional District 4,6,t
Congressional District 16,6,Congressional District 20,6,t
Congressional District 16,6,Congressional District 10,6,t
Congressional District 16,6,Congressional District 19,6,t
Congressional District 21,6,Congressional District 16,6,t
Congressional District 21,6,Congressional District 22,6,t
Congressional District 21,6,Congressional District 20,6,t
Congressional District 21,6,Congressional District 23,6,t
Congressional District 21,6,Congressional District 24,6,t
Congressional District 22,6,Congressional District 16,6,t
Congressional District 22,6,Congressional District 21,6,t
Congressional District 22,6,Congressional District 4,6,t
Congressional District 22,6,Congressional District 23,6,t
Congressional District 3,9,Congressional District 4,9,t
Congressional District 3,9,Congressional District 5,9,t
Congressional District 3,9,Congressional District 2,9,t
Congressional District 3,9,Congressional Districts not defined,9,t
Congressional District 3,9,Congressional District 1,9,t
Congressional District 4,9,Congressional District 3,9,t
Congressional District 4,9,Congressional District 5,9,t
Congressional District 4,9,Congressional District 3,36,t
Congressional District 4,9,Congressional Districts not defined,9,t
Congressional District 4,9,Congressional District 18,36,t
Congressional District 4,9,Congressional District 16,36,t
Congressional District 4,9,Congressional District 17,36,t
Congressional District 5,9,Congressional District 3,9,t
Congressional District 5,9,Congressional District 4,9,t
Congressional District 5,9,Congressional District 1,25,t
Congressional District 5,9,Congressional District 19,36,t
Congressional District 5,9,Congressional District 1,9,t
Congressional District 5,9,Congressional District 18,36,t
Congressional District 8,48,Congressional District 36,48,t
Congressional District 8,48,Congressional District 10,48,t
Congressional District 8,48,Congressional District 17,48,t
Congressional District 8,48,Congressional District 1,48,t
Congressional District 8,48,Congressional District 5,48,t
Congressional District 8,48,Congressional District 2,48,t
Congressional District 1,51,Congressional District 3,51,t
Congressional District 1,51,Congressional District 7,51,t
Congressional District 1,51,Congressional District 5,51,t
Congressional District 1,51,Congressional District 10,51,t
Congressional District 1,51,Congressional District 2,51,t
Congressional District 1,51,Congressional District 11,51,t
Congressional District 1,51,Congressional District 5,24,t
